task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,baseline_vs_combined,loss,none,6600,0.602943118873906,0.0316722278240522,0.5496968095656485,0.6539584047719836,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,6800,0.5851463422986368,0.03903733354218617,0.5431583738327026,0.6602472097519785,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,7000,0.5888641775440191,0.028031578883941716,0.5461205343529582,0.6234763579629362,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,7200,0.6161260627258646,0.03130069347348743,0.5713695625262335,0.6598825247818604,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,7400,0.6009250639301414,0.023506304931236437,0.5565046920301393,0.6298459723265841,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,7600,0.5942323595149598,0.03267710091871558,0.5464255949063227,0.6448579302895814,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,7800,0.5955804825997134,0.03254121427268906,0.5548300544172525,0.6383121616020798,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,8000,0.5950594005749251,0.028501980123793763,0.5454812121926806,0.6294892388582229,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,8200,0.5873280119414751,0.016618547324942938,0.5653299034992233,0.6109980290057138,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,8400,0.5857066079921788,0.036989012113209034,0.5323160460824147,0.6347022143192589,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,8600,0.5946842844660083,0.028082576799694253,0.567094176618848,0.6515883662272245,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,8800,0.5764650297844006,0.03939799814575633,0.5112924408889375,0.6228587609133683,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,9000,0.5533232280844823,0.012396234795484308,0.5289592124533374,0.5702472593146376,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,9200,0.5676525582347919,0.02778115911447195,0.5341754298156594,0.622877560025081,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,9400,0.573577312923735,0.02060133466185891,0.5455995282507502,0.6131201126473025,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,9600,0.5662136888187767,0.02217374688083808,0.5314069197373464,0.599711621243041,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,9800,0.585406944839051,0.031852312920861846,0.528043687895406,0.6320401699654759,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,10000,0.5565886503122359,0.022681168357782947,0.5170982097391971,0.5885112604987808,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,10200,0.5765159926800697,0.06910404001744265,0.5101907168840989,0.7199039211589843,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,10400,0.5492481086678163,0.022125018984343957,0.5182656053311075,0.5812155809043906,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,10600,0.5403358363770046,0.03616245387494904,0.5002686952170916,0.600223012646893,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,10800,0.5523272450584045,0.03218907950403591,0.5211444756295532,0.6167269638343714,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,11000,0.5483152362445253,0.032049920400368255,0.5155194415571168,0.5956532685714774,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,11200,0.5685549100623272,0.03504378357093231,0.4981284269364551,0.611028084079735,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,11400,0.5666554967057892,0.06850887122383971,0.5155498542124406,0.7159506265399977,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,11600,0.5618337858802018,0.044510143032890484,0.5053039727942087,0.6347459701588377,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,11800,0.5508749167784117,0.0312903483498541,0.4902341560134664,0.5802287739072927,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,loss,none,12000,0.5501938412696957,0.03743161575624352,0.4962989475391805,0.6042824725760148,6,"1000,1001,1002,1003,1004,1005",100000,200,True
