task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,controls,accuracy,none,8800,0.6066666666666666,0.0328718048721934,0.565,0.645,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,9000,0.6425,0.014361406616345085,0.63,0.665,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,9200,0.6058333333333333,0.033468476046705366,0.58,0.67,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,9400,0.6191666666666666,0.04014729823481968,0.54,0.66,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,9600,0.6208333333333333,0.022988523706889558,0.595,0.66,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,9800,0.6116666666666667,0.032617309651301545,0.555,0.65,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,10000,0.6525,0.02340761984198025,0.615,0.685,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,10200,0.6383333333333333,0.03737943582000968,0.585,0.69,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,10400,0.63,0.031885210782848346,0.575,0.67,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,10600,0.6383333333333333,0.036590830666833614,0.585,0.685,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,10800,0.6425,0.04230346715499019,0.575,0.705,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,11000,0.6616666666666666,0.03197221015541811,0.62,0.705,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,11200,0.6325,0.033880918917093564,0.585,0.685,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,11400,0.6358333333333333,0.03644821288104843,0.57,0.68,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,11600,0.6241666666666666,0.03396280645385808,0.585,0.67,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,11800,0.6375,0.03400367627183861,0.59,0.695,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,12000,0.65,0.05795112883571238,0.59,0.765,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,12200,0.6441666666666667,0.019878100736460954,0.62,0.685,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,12400,0.6408333333333334,0.01835226295462105,0.605,0.665,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,12600,0.6466666666666666,0.042687494916219,0.58,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,12800,0.6283333333333333,0.023213980461973552,0.58,0.65,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,13000,0.6308333333333332,0.04314864488666541,0.565,0.695,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,13200,0.6483333333333333,0.05249338582674541,0.57,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,13400,0.6716666666666665,0.03670452590924205,0.625,0.715,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,13600,0.6708333333333334,0.02387758130315731,0.64,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,13800,0.6658333333333334,0.025725581734055213,0.62,0.705,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,14000,0.6525,0.016266017746619295,0.63,0.67,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,14200,0.665,0.04222953153106642,0.595,0.735,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,14400,0.6433333333333332,0.04169998667732269,0.595,0.7,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,14600,0.6491666666666667,0.05622993469279111,0.545,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,14800,0.6533333333333333,0.03362373500305335,0.62,0.72,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,15000,0.6675,0.052658490926598606,0.59,0.76,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,15200,0.66,0.05400617248673217,0.58,0.725,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,15400,0.6483333333333333,0.0474926894959167,0.57,0.73,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,15600,0.6733333333333333,0.04048319267163705,0.615,0.735,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,15800,0.6841666666666667,0.041973867531543425,0.63,0.765,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,16000,0.6483333333333333,0.02034425935955619,0.61,0.675,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,16200,0.6749999999999999,0.05354126134736337,0.615,0.76,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,16400,0.6825,0.055207940250172956,0.615,0.775,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,16600,0.665,0.033416562759605695,0.61,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,16800,0.6716666666666665,0.05145116346811044,0.58,0.745,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,17000,0.6516666666666667,0.07597514213360985,0.54,0.74,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,17200,0.6558333333333334,0.048940156200086744,0.585,0.735,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,17400,0.6691666666666668,0.035872072083384804,0.6,0.71,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,17600,0.6708333333333333,0.059680864232646264,0.585,0.76,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,17800,0.6716666666666667,0.02248456260538671,0.64,0.7,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,18000,0.71,0.07393691004272944,0.63,0.84,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,18200,0.7066666666666667,0.055876848714133995,0.665,0.825,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,18400,0.7058333333333332,0.05302646089977678,0.625,0.805,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,18600,0.6966666666666667,0.06718548123582123,0.645,0.84,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,18800,0.7016666666666668,0.05047001309908908,0.645,0.8,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,19000,0.7066666666666666,0.08522845117030398,0.59,0.84,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,19200,0.7008333333333333,0.06972664881919646,0.61,0.82,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,19400,0.6975000000000001,0.055808452167510736,0.62,0.785,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,19600,0.7191666666666666,0.06760280237452354,0.645,0.845,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,19800,0.7008333333333333,0.05798107928932986,0.645,0.8,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,20000,0.7324999999999999,0.061559591724875275,0.65,0.855,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,20200,0.6841666666666667,0.06496259607565642,0.625,0.805,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,20400,0.725,0.056862407030773256,0.68,0.845,6,"1000,1001,1002,1003,1004,1005",77000,200,True
