task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
copy,baseline_vs_combined,loss,none,200,0.6897894942263761,0.0014997940323146376,0.6873388719558716,0.6914895123243332,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,400,0.6781643053889274,0.0021279050625706286,0.6756270098686218,0.6819538006186485,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,600,0.6740042225519817,0.0013878593078677545,0.6721575197577476,0.6758061230182648,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,800,0.6675915265083314,0.0012940966988136899,0.665868601500988,0.6694210323691369,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,1000,0.6625415706137816,0.0019878303165119294,0.6596089985966682,0.6654547125101089,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,1200,0.6552370579292377,0.0035808217771080876,0.651229802519083,0.6619929608702659,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,1400,0.6506247411171595,0.003214585460375321,0.6459826821088791,0.6556524178385734,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,1600,0.6481776260832945,0.003892129839353955,0.6431889624893665,0.6549597123265266,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,1800,0.6445223176727692,0.004766974808378499,0.6364532548189163,0.6513796672224998,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,2000,0.6408979719380538,0.005250705173700309,0.6360367521643638,0.6507267591357231,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,2200,0.6390017593900362,0.0061034199090152464,0.628919473439455,0.6460400280356408,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,2400,0.633271741171678,0.004395980766388849,0.6268398627638817,0.6395666711032391,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,2600,0.6299656161914269,0.005820440277967791,0.6206538650393486,0.6382646223902703,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,2800,0.6260117748379707,0.008482413117677747,0.608008275181055,0.6351764273643493,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,3000,0.6143855717778206,0.022104033727631804,0.5664019565284252,0.6347287091612815,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,3200,0.5982080399865907,0.060356075757717044,0.46373834677040576,0.6334807740151882,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,baseline_vs_combined,loss,none,3400,0.5763754016285141,0.10211397766787428,0.3481375198811293,0.6256637932360172,6,"1000,1001,1002,1003,1004,1005",20000,200,True
