advice_type,checkpoint_batch,sequence_length,n_seeds,seeds,mean_loss,std_loss,mean_bit_error_rate,std_bit_error_rate,mean_exact_sequence_accuracy,std_exact_sequence_accuracy,mean_cost,std_cost
combined,20000,10,6,"1000,1001,1002,1003,1004,1005",0.001199692211481801,0.0026584786393668096,0.0007250000101824602,0.0016211493064560204,0.9979999999205272,0.004472136132706288,0.057999999999999996,0.1296919426949878
combined,20000,20,6,"1000,1001,1002,1003,1004,1005",0.005577869544305719,0.012450662321123315,0.0033604166905085247,0.0075141201527019336,0.9920000004768372,0.017888542753758025,0.5376666666666666,1.202259215902387
combined,20000,30,6,"1000,1001,1002,1003,1004,1005",0.013291544457460601,0.029524695401275072,0.007913888828479685,0.01762897476905649,0.9783333365122479,0.03911378774972545,1.8993333333333335,4.230953977007497
combined,20000,50,6,"1000,1001,1002,1003,1004,1005",0.15337408351072335,0.22615901810790623,0.020167500076349824,0.03882431665182174,0.827666670481364,0.19555873985220643,8.067,15.52972658055082
combined,20000,100,6,"1000,1001,1002,1003,1004,1005",6.540945915307829,6.889250429731015,0.1752537499119838,0.19227997142310566,0.6003333355486393,0.4430657086547072,140.203,153.82397714162335
none,20000,10,6,"1000,1001,1002,1003,1004,1005",5.578087797179373e-05,5.818976003670777e-05,4.166666573534409e-06,9.316949697999063e-06,0.9996666665871938,0.0007453561702066349,0.0003333333333333333,0.00074535599249993
none,20000,20,6,"1000,1001,1002,1003,1004,1005",0.00220918412478375,0.004835152836036445,0.00044791666868453225,0.0009848439187728274,0.9956666656335195,0.007156971890882635,0.07166666666666667,0.157575026222079
none,20000,30,6,"1000,1001,1002,1003,1004,1005",0.05978962294911616,0.0890754438472763,0.003856944446645987,0.004892337199624298,0.9793333343664806,0.027992060409855107,0.9256666666666665,1.174160929723387
none,20000,50,6,"1000,1001,1002,1003,1004,1005",1.5026998191716279,2.0977513279438207,0.06320750008773758,0.08841638028049303,0.7760000017285348,0.3161160099412462,25.283000000000005,35.36655204662545
none,20000,100,6,"1000,1001,1002,1003,1004,1005",5.1806100852217245,6.75665504139611,0.17056624907975979,0.22299259522682757,0.6053333359956742,0.4401206917046148,136.453,178.39407726622167
