advice_type,checkpoint_batch,sequence_length,repetitions,n_seeds,seeds,mean_loss,std_loss,mean_bit_error_rate,std_bit_error_rate,mean_exact_sequence_accuracy,std_exact_sequence_accuracy,mean_cost,std_cost
combined,50000,10,1,4,"1000,1001,1002,1003",1.3217644765920172e-05,1.4628666433987566e-05,0.0,0.0,1.0,0.0,0.0,0.0
combined,50000,10,3,4,"1000,1001,1002,1003",7.232215761949377e-05,8.698917383081671e-05,2.2401433670893312e-05,2.9379205096919914e-05,0.9962499991059304,0.0041457819763754435,0.00625,0.0081967981553775
combined,50000,10,5,4,"1000,1001,1002,1003",2.3202240529892735e-05,2.436100850207103e-05,0.0,0.0,1.0,0.0,0.0,0.0
combined,50000,10,7,4,"1000,1001,1002,1003",0.7264430154114963,0.6977626232006608,0.05481416271068156,0.034773671811238784,0.0,0.0,35.026250000000005,22.22037617115201
combined,50000,10,10,4,"1000,1001,1002,1003",3.7060252897441384,4.618596707961016,0.1848171070218086,0.11761384560108717,0.0,0.0,167.99875,106.91098536720865
combined,50000,20,1,4,"1000,1001,1002,1003",0.1978411896069615,0.34266549267739554,0.011514550307765603,0.019943786159357876,0.9387500017881394,0.10608810886644557,2.17625,3.769375569971769
combined,50000,20,3,4,"1000,1001,1002,1003",0.08622287533269253,0.145245622475013,0.0066734972804624705,0.009890449108510566,0.9462500020861626,0.08465923788336217,3.66375,5.429856553123663
combined,50000,20,5,4,"1000,1001,1002,1003",0.12386205337383159,0.21284052939357062,0.009565456525888293,0.016132580654302058,0.9025000020861625,0.16315253102616523,8.695,14.66451584608234
combined,50000,20,7,4,"1000,1001,1002,1003",0.6807462178170681,0.2787800835501032,0.08177403477020562,0.034756967423186264,0.0,0.0,103.77125,44.106591113885685
combined,50000,20,10,4,"1000,1001,1002,1003",4.050302608311177,4.547580418808851,0.21457296740263704,0.11006541305011111,0.0,0.0,388.1625,199.1083340954115
combined,50000,30,1,4,"1000,1001,1002,1003",2.285900985756932,3.959287839751697,0.11107974871993065,0.19239576847490383,0.7512500000186264,0.4308476383504963,30.99125,53.67841959006897
combined,50000,30,3,4,"1000,1001,1002,1003",1.5524226061452213,2.6683596429352225,0.06806471350282663,0.11739508145996205,0.7412500008940697,0.4281993553242417,55.745000000000005,96.14657111670702
combined,50000,30,5,4,"1000,1001,1002,1003",2.0103115291184537,2.0724089745858505,0.10492917670526367,0.08361557645272377,0.24125000061467292,0.4149755274085639,142.59875,113.63356691439154
combined,50000,30,7,4,"1000,1001,1002,1003",2.243117655813694,0.9026350262009454,0.16932003628462552,0.053276275076216614,0.0,0.0,321.53875,101.17164754607637
combined,50000,30,10,4,"1000,1001,1002,1003",4.4441482573747635,2.8833027669602136,0.2537716865539551,0.10182662810488037,0.0,0.0,687.4675,275.84833202549913
